UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
립위,@Liweiedroid,2022-11-21T03:46:35.000Z,"립위
@Liweiedroid
·
21 Nov 2022Replying to 
@yanzhonghuang3
, 
@az642021
 and 
@DrStrangeEthan
人家王世堅挺的就是陳時中，不是要挺那個爛黃珊珊，別誤會囉
2",2,,
一生一生推,@callie_eillac_,2022-11-21T03:30:47.000Z,"一生一生推
@callie_eillac_
·
21 Nov 2022來去陳時中的競總晃晃再去咖啡展w
14",,,14
Jack R. Wang,@jackoop,2022-11-21T03:22:13.000Z,"Jack R. Wang
@jackoop
·
21 Nov 2022Replying to 
@dgdunix
票多就贏。
與其說誰負責，不如懷疑台北市民的智商吧。

當年阿扁贏是因為兩個藍營候選人旗鼓相當，今天的局就跟當年不同，只不過一樣是三咖督不代表陳時中保證贏。

在這邊氣呼呼的不如直接說您在罵誰？
14",,,14
黄傳榮,@V9IEIbJzXHLELiG,2022-11-21T03:21:04.000Z,"黄傳榮
@V9IEIbJzXHLELiG
·
21 Nov 2022Replying to 
@ong_tario
票投阿中，才是最重要的事，台湾人民要還厚道，沉穩的人，才是市長最佳人選，陳時中是最佳人選。
12",,,12
yue,@kohira01_,2022-11-21T03:18:49.000Z,"yue
@kohira01_
·
21 Nov 2022Replying to 
@llimitlessmary
每次看陳時中一句一句講出想要改變台北的時候，真的好希望台北能讓陳時中翻轉
7",,,7
綠營死忠支持者生涯 已經結束 。改當隱形側翼，請原諒我 這樣我的心情才會好,@koyehol567,2022-11-21T03:17:58.000Z,"綠營死忠支持者生涯 已經結束 。改當隱形側翼，請原諒我 這樣我的心情才會好
@koyehol567
·
21 Nov 2022高虹安呢

薛瑞元曝陳時中擋疫苗掮客！柯文哲酸「比豬隊友還豬」：事情做錯就惦惦 | 政治 | 三立新聞網 http://SETN.COM
setn.com
薛瑞元曝陳時中擋疫苗掮客！柯文哲酸「比豬隊友還豬」：事情做錯就惦惦 | 政治 | 三立新聞網 SETN.COM
衛福部長薛瑞元稱疫情期間很多疫苗掮客，都被民進黨台北市長候選人陳時中擋下，因斷人財路才產生仇恨值。對此，身兼民眾黨主席的台北市長柯文哲今（21）日受訪時就嘲諷表示，「比豬隊友還豬，有些事情做錯就惦惦（台語，意指：安靜）就好。」
1",,,1
安平青蛙大王,@guaguating,2022-11-21T03:14:44.000Z,"安平青蛙大王
@guaguating
·
21 Nov 2022有的白痴說甚麼死忠仔就愛講防疫是陳時中一個人的功勞，我那麼愛待在同溫層從來沒看過有人講過這種話，防疫不是陳時中一人的功勞，但今天如果疫情爆發時，執政黨是國民黨，繼續放中國人來台，然後把口罩通通捐給中國，台灣早就確診難波萬了好不好。
1
2",1,,2
Ping Ann,@Ping__Ann,2022-11-21T03:12:19.000Z,"Ping Ann
@Ping__Ann
·
21 Nov 2022Replying to 
@TaipeiShihChung
讓世界看見台灣，讓世界看見台北
#陳時中 做到了!
這樣的台北，觀光會暴動! 
台北加油! 台灣加油!

《雪梨晨鋒報》北亞記者 Eryk Bagshaw 昨天的推文，以下附上他推文的照片。
1
11",,1,11
旻旻特木耳,@llimitlessmary,2022-11-21T03:11:49.000Z,"旻旻特木耳
@llimitlessmary
·
21 Nov 2022Replying to 
@EunHye912
家有慢性病人更可以感受到阿中做了多少，光是可以每星期能正常去大型醫院就醫就很謝謝了。

台北一定要投他，出來投12號陳時中
1
4
33",1,4,33
Ping Ann,@Ping__Ann,2022-11-21T03:10:28.000Z,"Ping Ann
@Ping__Ann
·
21 Nov 2022讓世界看見台灣，讓世界看見台北
#陳時中 做到了!
這樣的台北，觀光會暴動! 
台北加油! 台灣加油!

《雪梨晨鋒報》北亞記者 Eryk Bagshaw 昨天的推文，以下附上他推文的照片。
7
47",,7,47
白襪拔拔~ 囧rz,@socks17571,2022-11-21T03:09:06.000Z,"白襪拔拔~ 囧rz
@socks17571
·
21 Nov 2022Replying to 
@rhbdbwvvsbxu
真的，堅定支持陳時中，黃珊珊太假",,,
六本弦 육본현,@monosimphony,2022-11-21T03:08:15.000Z,"六本弦 육본현
@monosimphony
·
21 Nov 2022標識の裏に貼られた陳時中。
#台湾の選挙事情2022
1",1,,
cow,@cow_crash,2022-11-21T02:47:42.000Z,"cow
@cow_crash
·
21 Nov 2022Replying to 
@Irene16566829
顆顆！幾隻小貓在這取暖！也沒見陳時中有什麼大的造勢晚會！陳時中還不趕快上館長直播！人家佳龍葛格都去了！",,,
陳時中 Chen Shih-Chung,@TaipeiShihChung,2022-11-21T02:44:36.000Z,"陳時中 Chen Shih-Chung
@TaipeiShihChung
·
21 Nov 2022我是陳時中，我是阿中。感謝昨天參與「疼惜台北、為愛而走」的每一位朋友，從今天開始，讓我們攜手齊心前行，共同走完最後一哩路。每個人再幫我多打一通電話，多分享一次訊息，再向朋友多拉一張票。11/26，讓我們一起帶著勝利，前進市府，完成改變歷史的偉大任務。
15
110
1,357",15,110,"1,357"
suchienhsu,@suchienhsu,2022-11-21T02:43:36.000Z,"suchienhsu
@suchienhsu
·
21 Nov 2022Replying to 
@mg49k6591t
其實這跟陳時中無關，最大問題還是民進黨執政引發20歲到40歲的年齡層不滿
2",,,2
( ͡° ͜ʖ ͡°) 生為台灣人，死為台灣魂,@balababada,2022-11-21T02:40:43.000Z,"( ͡° ͜ʖ ͡°) 生為台灣人，死為台灣魂
@balababada
·
21 Nov 2022快去看林佳龍+陳時中車掃直播
超多人超熱情

#台北選12號陳時中
#新北選1號侯友宜
5",,,5
speakoutfreeman,@speakoutfreeman,2022-11-21T02:37:49.000Z,"speakoutfreeman
@speakoutfreeman
·
21 Nov 2022我很難想像台北陳時中萬一出頭了那這下惹鬧了.張善政哪來的把握可以出去高雄拉票了？高雄人不喜歡張善政吧！
1",,,1
Dagigi,@Dagigilee0122,2022-11-21T02:33:43.000Z,"Dagigi
@Dagigilee0122
·
21 Nov 2022Replying to 
@ichiahou
大家除了幫陳時中拉票，也要深入藍營幫黃珊珊拉郭萬安的票

然後新北也要幫林佳龍拉票，新北有機會的
2",,,2
獅獅有二種,@luck_buster,2022-11-21T02:28:08.000Z,"獅獅有二種
@luck_buster
·
21 Nov 2022為啥+long車掃一直喊陳時中來囉～XDD",,,
大綠斑蛙.蛤蠣,@ch41281076,2022-11-21T02:26:02.000Z,"大綠斑蛙.蛤蠣
@ch41281076
·
21 Nov 2022林佳龍凍蒜
陳時中凍蒜
雙北選民票投起來，ㄧ起加油
15
249",,15,249
Goston  蔥爺,@NintendoGC,2022-11-21T02:25:36.000Z,"Goston  蔥爺
@NintendoGC
·
21 Nov 2022誰叫貴黨自己不先照照鏡子...

→

遭陳時中反批大姊炒房 蔣萬安砲轟：「固定SOP」被質疑就扯我家人 | 政治 | Newtalk新聞
newtalk.tw
遭陳時中反批大姊炒房 蔣萬安砲轟：「固定SOP」被質疑就扯我家人 | 政治 | Newtalk新聞
民進黨台北市長陳時中日前遭爆料選前急售高雄豪宅，開價新台幣4580萬元、獲利可上看千萬元。陳時中團隊今( 19 )日回應，還未售出、絕無炒房，反批國民黨候選人蔣萬安的大姊賣房大賺 9 千萬。蔣萬安也隨即回嗆：「民進黨被外界質疑就開始牽扯我的家人、攻擊家人，變成固定 SOP」。陳時中遭爆料，選前急售名
2",,,2
Banana oO(要幫師匠捏袖珍章魚燒嗎),@ari_summerdays,2022-11-21T02:24:57.000Z,"Banana oO(要幫師匠捏袖珍章魚燒嗎)
@ari_summerdays
·
21 Nov 2022我看下次金馬獎邀民進黨來當評審團算了
評審團主席 蔡英文
評審團成員 姚文智 蘇貞昌 陳時中 陳其邁
然後通通頒給台灣電影管他拍得好不好全部亂頒一通
這樣就不會被罵黨國利益者ㄌ哈哈反正頒給香港電影和中國電影就被酸政治操作嘛==
12",,,12
Katsuraseki,@dchang_416,2022-11-21T02:24:34.000Z,"Katsuraseki
@dchang_416
·
21 Nov 2022Replying to 
@usahanablanc
之前接受訪問，問她給陳時中的防疫成績打幾分，她回答80分；之後跟柯文哲同台，就補上""滿分是1000""，這種說法實在有違常理。她根本走不出柯文哲的影子，如果輸的話，柯文哲絕對是她最大的敗因…
12",,,12
Asian American,@AsianAmericanUS,2022-11-21T02:20:34.000Z,"Asian American
@AsianAmericanUS
·
21 Nov 2022辦事能力來說， #陳時中 一定比 #蔣萬安 強。在愛台灣來說，一定比 #黃珊珊 愛。 如果 #防疫不周 ，那是 #中國國民黨 跟 #民眾黨 做出來的諱言。全世界都知道，也共識，台灣在這兩三年來對於防疫這方面是全球數一數二的。We believe that Chen Shih-Chung is the most desirable candidate for Taipei.
10",,,10
习近平必须释放王藏！黄琦！王炳章！高智晟！张展！,@RalphBei,2022-11-21T02:19:28.000Z,"习近平必须释放王藏！黄琦！王炳章！高智晟！张展！
@RalphBei
·
21 Nov 2022Replying to 
@setlivenews
林佳龍沒希望了
因為他沾了陳時中
youtube.com
童文薫pk民進黨黨公職完勝
童文薰律師公開挑戰民進黨公職，任何任出來PK都可以，只要提出證據，證明蔡英文的公司持有的這塊海霸王中山店地目不是「中央各軍事學校同學會館建築用地」，她立即退選，永久退出政壇。反之，PK的人永久退出政壇！至今無人出來接戰帖。111年台北市市長擬參選人童文薰政治獻金專戶(※依政治獻金法規定，捐獻給同一名候選人金額上限...",,,
綠營死忠支持者生涯 已經結束 。改當隱形側翼，請原諒我 這樣我的心情才會好,@koyehol567,2022-11-21T02:18:49.000Z,"綠營死忠支持者生涯 已經結束 。改當隱形側翼，請原諒我 這樣我的心情才會好
@koyehol567
·
21 Nov 2022https://m.facebook.com/story.php?story_fbid=pfbid09ZxYxnTUgASdhFPTRaPDaZN9mQYgyNVP5vK6Cj3S2VFosJNXsCtKecvQhsjszeopl&id=100006213755698&mibextid=qC1gEa…

高虹安
只是line 溝通請益並沒有什麼？？

【續前篇】
　
2021/9/13： #宣明智 給了建議（指示？指導棋？）的訊息．
　
2021/9/22： 高虹安 在立法院質詢陳時中．
　
---
宣明智：
中華民國商界出身的臺灣政治人物、企業家，
曾任聯華電子總經理、也曾任聯華電子榮譽副董事長
1",1,,
christine huang,@christinetaiwan,2022-11-21T02:08:16.000Z,"christine huang
@christinetaiwan
·
21 Nov 2022Replying to 
@mg49k6591t
比例問題啊! 一邊15萬人 年輕人5萬  比例1/3 
另一邊5 萬人 年輕人2萬 比例 2/5 看起來當然黃珊珊那邊年輕人比較多
但是就總數來說 陳時中那邊還是比較多啊! 就說不要憑感覺臆測阿
2
4",2,,4
Goston  蔥爺,@NintendoGC,2022-11-21T01:22:31.000Z,"Goston  蔥爺
@NintendoGC
·
21 Nov 2022『涉案人供稱，自己試圖解決中美問題卻沒人理他』

要解決中美問題，你要找的是習近平和拜登，謝謝...

→

陳時中宣傳車遭男子持刀強登 6警噴辣椒水控制場面 | 政治 | Newtalk新聞
newtalk.tw
陳時中宣傳車遭男子持刀強登 6警噴辣椒水控制場面 | 政治 | Newtalk新聞
民進黨台北市長候選人陳時中今（20）日舉辦《疼惜台北．為愛而走》大遊行，下午行經北市中正區民進黨中央黨部時，宣傳車遭一名手持美工刀的男子強行登上，要搶麥克風表達訴求，所幸無人傷亡。待命警察隨即以辣椒水控制場面，將涉案人帶回仁愛派出所，後續依違反社會秩序維護法展開偵辦。陳時中《疼惜台北．為愛而走》大遊
1
2",,1,2
Rock Hsieh,@ibEHBosXEOhTX8O,2022-11-21T01:21:34.000Z,"Rock Hsieh
@ibEHBosXEOhTX8O
·
21 Nov 2022Replying to 
@Lelechen945
當初台灣還有一些人積極鼓吹台灣接受中國疫苗，還好陳時中沉著穩健讓大家接種通過台灣EUA的疫苗，否則現在台灣也要跟中國一樣封控了！
1
10",,1,10
Ta-wei Chi,@Tawei_Chi,2022-11-21T01:21:22.000Z,"Ta-wei Chi
@Tawei_Chi
·
21 Nov 2022左到右，最下面：#陳建仁 #蔡英文 #陳時中 （2022-11-20 台北市政府周邊）
1",,,1
The News Lens,@thenewslens,2022-11-21T01:20:03.000Z,"The News Lens
@thenewslens
·
21 Nov 2022選舉倒數6天，昨天是選前超級星期天。民進黨台北市長候選人陳時中陣營下午在台北舉辦「疼惜台北、為愛而走」遊行，黨主席蔡英文在終點北市府前廣場助陣。針對未來5天的選前最後衝刺，國民黨內人士表示，這次選舉，多數國民黨執政縣市長都是拚連任…
thenewslens.com
2022九合一選舉：選前最後衝刺綠著重10激戰區，藍回歸陸軍組織戰 - The News Lens 關鍵評論網
選舉倒數6天，昨天是選前超級星期天。民進黨台北市長候選人陳時中陣營下午在台北舉辦「疼惜台北、為愛而走」遊行，黨主席蔡英文在終點北市府前廣場助陣。針對未來5天的選前最後衝刺，國民黨內人士表示，這次選舉，多數國民黨執政縣市長都是拚連任，最後一週時間，將著重在陸軍及組織的部分，一個縣市都不放棄。
1",,,1
愛山敬山,@alpinetaiwan99,2022-11-21T01:17:45.000Z,"愛山敬山
@alpinetaiwan99
·
21 Nov 2022Replying to 
@mg49k6591t
你有去參加陳時中的為愛而走遊行？
你是活在哪個時空？
凱道造勢及遊行我都親身從頭到尾參加，尤其今天的遊行，年輕人之多，你眼睛有業障？？？
我還看到一位年輕人，因為行動不便，坐著輪椅，由家人推著走完全程！
滿滿參加遊行的人不說，連沿路都站滿加油打氣的人群！
1
21",,1,21
邱劭安 CHIU SHAO AN,@maxchiu1234,2022-11-21T01:15:45.000Z,"邱劭安 CHIU SHAO AN
@maxchiu1234
·
21 Nov 2022且黃珊珊前副市長強調自己是以無黨籍參選，但昨晚的造勢晚會民眾黨也像是不演了，一同在其中造勢。

這樣試圖以無黨籍表達自己沒有奧援，也其實蠻怪異的。

（說真的，昨天陳時中的舞台還比黃珊珊的還小。不過，也可能陳時中昨天主要的活動是在遊行。）",,,
Goston  蔥爺,@NintendoGC,2022-11-21T01:08:53.000Z,"Goston  蔥爺
@NintendoGC
·
21 Nov 2022談疫苗掮客 薛瑞元：陳時中不知道擋了多少「疫苗騙子」 - 政治 - 自由時報電子報
news.ltn.com.tw
談疫苗掮客 薛瑞元：陳時中不知道擋了多少「疫苗騙子」 - 政治 - 自由時報電子報
衛福部長薛瑞元替民進黨台北市長候選人陳時中抱不平，直言陳時中仇恨值高是因為擋了疫苗掮客，無黨籍台北市長候選人黃珊珊要求把掮客名字公佈出來。對此薛瑞元今（20日）再表示，疫苗掮客多要求要先付訂金，只要騙成功一次，就能獲利上億元，若真的付錢，被「擺爛」捲款而逃都沒辦法處理，疫情期間不知道擋掉多少這種「疫苗騙子！」薛瑞元今天出席罕病基金會頒獎典禮，會前接受媒體聯訪時被問到日前曾指出陳時中仇恨值高，...
4",,,4
邱劭安 CHIU SHAO AN,@maxchiu1234,2022-11-21T01:07:37.000Z,"邱劭安 CHIU SHAO AN
@maxchiu1234
·
21 Nov 2022聽到這裡，我覺得挺好的，對政治有熱誠跟認識，沒有什麼不好。

但後來妹妹說出了：我還跟我阿公說：「如果你投陳時中，你每個月就沒有錢拿。我也不會去找你」

聽到這一席話，我倍感驚嘆。因為黃珊珊跟柯文哲強調：柔性政黨不是要挑起對立。",,,
何誌剛,@hzhgng1,2022-11-21T00:50:33.000Z,"何誌剛
@hzhgng1
·
21 Nov 2022請陳時中出來道歉！",,,
JP30th@,JP30th@,2022-11-21T00:47:43.000Z,"JP30th@
@kaifang365
·
21 Nov 2022又在那邊分英系不英系
現階段本就應集中選票給民進黨
還整天那邊「不投英系」
或「不投陳時中」的

講難聽點
在這關頭
還整天在那邊
不投英系不投某某民進黨候選人的
根本是偏執狂
𝐋𝐮𝐜𝐤𝐲𝐍𝐞𝐝
@Marketfoer
·
20 Nov 2022
Replying to @SimonHiaobeng
但我一定要看到蔡英文辭黨主席才能安心，她不是台灣民族主義者，英系提名的通通不能投
31
9
248",31,9,248
ChenChen,@Chen57962136,2022-11-21T00:43:33.000Z,"ChenChen
@Chen57962136
·
21 Nov 2022[https://twitter.com/Chen57962136/status/1594491502465413125…]
感想：
萬華破口、臺北破口
都綠營講的
2021缺國際疫苗缺到讓各國捐疫苗
只看到黃珊珊與臺北市政府天天努力救萬華救臺北[https://youtube.com/watch?v=0wTzkrcuJNM…]
蔡英文說的疼惜，是讓臺北市在疫情期自生自滅嗎

每次都地方政府與人民的自主應變抗疫防疫而挺過疫情
【反陳時中】救臺北市!
ChenChen
@Chen57962136
·
21 Nov 2022
感想：
不會治國的蔡英文，說要疼惜臺北喔
先不計較【疫情嚴重時，卻不談臺北市是重災需支援而等『臺北市政府與柯文哲黃珊珊及人民自主應變抗疫防疫做得差不多』才放梗圖搶功】

2022臺北疫情重而建議[快篩陽=確診]
陳時中卻拖1個月後才同意
讓病人跟2021一樣等PCR等到死

【反陳時中】才能疼惜臺北市!
Show this thread
1
1",1,1,
Lewis Lin,@lulu3866,2022-11-20T23:37:38.000Z,"Lewis Lin
@lulu3866
·
21 Nov 2022陳時中新推出的競選影片《往後，誰可以接住你》，強調自己過去三年防疫的功勞；他忘了被漏接的確診死者達一萬四千人，他還不承認自己下過「廿四小時火化令」。新衛福部長薛瑞元更是青出於藍，把在野黨質詢形容為「頭蝨」般可厭，浪費官員時間；在他眼裡，自不會有民主制衡、五權分立這些概念。",,,
Jarry,@qbEqSIEGKaZa00i,2022-11-20T23:33:31.000Z,"Jarry
@qbEqSIEGKaZa00i
·
21 Nov 2022Replying to 
@mg49k6591t
支持陳時中的年輕人不太會去現場 他們都在家裡看直播或是YT
1",,,1
PUTYPUTY,@AppPuty2,2022-11-20T23:30:04.000Z,"PUTYPUTY
@AppPuty2
·
21 Nov 2022[新聞] 集中選票挺陳時中 蔡總統：給會做事的人1.媒體來源:聯合 2.記者署名:胡瑞玲 3.完整新聞標題:集中選票挺陳時中 蔡總統：給會做事的人一個公道 4.完整新聞內文: 2022-11-20 18:41 https://reurl.cc/gQD0YN #Gossiping #PTT #熱門",,,
葛鼎盛,@kotingsheng1211,2022-11-20T23:12:56.000Z,"葛鼎盛
@kotingsheng1211
·
21 Nov 2022看到陳時中遊行造勢陣仗 徐巧芯爆選前「最後關鍵」
chinatimes.com
看到陳時中遊行造勢陣仗 徐巧芯爆選前「最後關鍵」 - 政治
九合一選舉投票前，最後一個超級星期天。民進黨台北市長候選人陳時中20日舉行「為愛而走」遊行，陣仗不小；無黨籍候選人黃珊珊則舉辦「偉大市民挺珊珊」大型造勢晚會，場面感人。國民黨台北市議員徐巧芯表示，台北市
1
1",,1,1
Piezo,@6oodpl4yer,2022-11-20T22:26:41.000Z,"Piezo
@6oodpl4yer
·
21 Nov 2022Replying to 
@vic22111
幫黃珊珊拉底萬安公子的選票就是暗助陳時中
1",,,1
嗨！沛 ⁷ ʜᴀᴘᴘʏ ɴᴇᴡ ʏᴇᴀʀ,@hypaleon,2022-11-20T22:26:13.000Z,"嗨！沛 ⁷ ʜᴀᴘᴘʏ ɴᴇᴡ ʏᴇᴀʀ
@hypaleon
·
21 Nov 2022Replying to 
@huar
但看在他這麼認真用數據整理出台灣防疫世界第一，並說服友人（雖然不知道他們會不會投給陳時中），也是覺得好吧！希望有點作用www
1
2",1,,2
alexandroslee創造價值夥伴VCP李東昇,@alexandroslee,2022-11-20T21:31:15.000Z,"alexandroslee創造價值夥伴VCP李東昇
@alexandroslee
·
21 Nov 2022蔣萬安空心大蘿蔔、
黃珊珊搖擺牆頭草、
陳時中用心實在做事！
台北市民都看清了這三人",,,
阿中,@yanzhonghuang3,2022-11-20T20:15:14.000Z,"阿中
@yanzhonghuang3
·
21 Nov 2022Replying to 
@ccckelly0509
 and 
@DrStrangeEthan
陳時中是第二個連勝文
1",1,,
阿中,@yanzhonghuang3,2022-11-20T20:14:56.000Z,"阿中
@yanzhonghuang3
·
21 Nov 2022Replying to 
@Acoustic_Fun
 and 
@DrStrangeEthan
挖 那陳時中也給你罵進去了
1
1",1,,1
YANG YANG,@XINYANGLIN3,2022-11-20T19:45:40.000Z,"YANG YANG
@XINYANGLIN3
·
21 Nov 2022Replying to 
@TaipeiShihChung
唯一支持陳時中！
台北市長陳時中！
1",,,1
笑牽毒摔殖,@db2warning,2022-11-20T19:20:21.000Z,"笑牽毒摔殖
@db2warning
·
21 Nov 2022Replying to 
@Harmony_Reform
哈哈哈哈哈哈哈哈
說擋疫苗騙子上億財路被尋仇
我快笑死
為什麼疫苗採購要封存30年
30年你陳時中還活著嗎？",,,
喵喵喵喵子,@s2684753,2022-11-20T18:15:53.000Z,"喵喵喵喵子
@s2684753
·
21 Nov 2022不行欸發現朋友居然現在還覺得柯文哲沒問題真的會有點生氣
就算他不住台北
在那邊說覺得陳時中做不好
問他你覺得有人能做的比陳時中好？又答不出來只會在那邊我覺得他做不好
一直說不要談政治然後又自己一直要說覺得民進黨變爛不管人民
好了啦閉嘴喔
1",,,1
蒸的綺不來，沒有竫錚力,@hungry0920,2022-11-20T18:04:46.000Z,"蒸的綺不來，沒有竫錚力
@hungry0920
·
21 Nov 20222022/11/21 人生第一場造勢活動
2020年因為工作和課業夾擊基本上參加不了，今年因為時間較有調整的餘裕就告訴自己要把握。
第一場造勢是參與很喜歡的政治人物陳時中舉辦的遊行一直都特別佩服能在艱困環境下顧及、協調多方利益關係人的領導者，而陳時中將這樣的特質實踐得透徹。
2
1
9",2,1,9
朴燦英,@bc_inch,2022-11-20T17:58:30.000Z,"朴燦英
@bc_inch
·
21 Nov 2022觸 陳時中會讓我投不下去的人真的就是他的團隊欸
2",2,,
